ID,Chemical Name,Fomula,Monoisotopic_mass,cas,emz1,emz2,emz3,emz4,emz5,emz6,emz7,emz8
CP3025,Anthracene,(C6H4CH)2,178.0783,120-12-7,178.0774,89.0386,152.0621,163.054,139.0542,,,
CP2507,aldicarb,CH3SC(CH3)2CH=NOCONHCH3,190.0776,116-06-3,86.0726,85.0649,144.0569,100.0838,76.081,,,
CP3164,Fenvalerate_1,C25H22ClNO3,419.1288,51630-58-1,419.1287,125.0152,225.0786,181.0647,,,,
CP2227,Fluoranthene,C16H10,202.0783,206-44-0,202.0776,200.0624,203.0812,201.07,101.0387,,,
CP3113,Atrazine,C8H14ClN5,215.0937,1912-24-9,215.0932,200.0698,217.0903,216.0966,,,,
CP3078,Pyrene,C16H10,202.0783,129-00-0,202.0776,200.0621,203.0809,201.0697,,,,
CP2049,"2,4'-Methoxychlor ", C16H15Cl3O2,344.0138,30667-99-3,344.0143,341.0179,342.0175,343.0142,227.0224,228.0214,152.0237,181.0075
CP2212,2-Nitroaniline,C6H6N2O2,138.0429,88-74-4,108.0444,92.0257,80.0495,139.0543,138.0424,,,
CP2506,3-hydroxycarbofuran,C12H15NO4,237.1001,16655-82-6,238.1102,239.1134,240.1159,237.1023,,,,
CP2516,Acetophenone,C6H5COCH3,120.0575,98-86-2,120.0571,105.0335,77.0386,106.0369,,,,
CP3125,Butylate,C11H23NOS,217.15,2008-41-5,75.023,89.0387,90.0466,156.0004,,,,
CP3158,trans-Cypermethrin,C22H19Cl2NO3,415.0742,52315-07-8,163.0075,165.0047,181.0648,180.0806,127.031,,,
CP3047,Dibutyl phthalate,C6H4(COOC4H9)2,278.1518,84-74-2,149.1325,150.1359,205.1951,104.0621,,,,
CP2043,Ethylan,C18H20Cl2,306.0942,72-56-0,179.118,167.0638,193.0462,223.0813,306.0968,,,
CP3180,Hexanoic acid,C6H12O2,116.0837,142-62-1,116.0832,73.0285,88.0519,115.0754,87.0804,,,
CP2145,Metalaxyl ,C15H21NO4,279.1471,57837-19-1,206.1179,130.0863,192.1383,160.1121,279.1466,,,
CP2252,methyl paraben,C8H8O3,152.0473,99-76-3,152.0468,151.039,153.0699,154.0776,121.0525,93.0336,,
CP3135,Napropamide,C17H21NO2,271.1572,15299-99-7,271.1569,72.0808,128.107,100.0757,115.0573,,,
CP2331,Octyl-dimethyl-PABA,C17H27NO2,277.2042,21245-02-3,277.2037,165.0783,164.0706,148.0757,,,,
CP3174,Resmethrin ,C22H26O3,338.1882,10453-86-8,338.1877,123.1169,171.0804,128.0621,,,,
CP2487,Vernolate,C10H21NOS,203.1344,1929-77-7,128.1152,101.0598,129.091,88.052,86.0362,,,
CP3066,2-Methylphenol,CH3C6H4OH,108.0575,95-48-7,108.057,109.0648,107.0492,77.0386,79.0543,,,
CP2302,tris(tribromoneopentyl),C21H20Br8O2,935.4930,21850-44-2,670.7541,679.8378,678.8669,672.7562,,,,
CP2458,"2,6-Dichlorophenyl-4'-nitrophenyl ether",C12H7Cl2NO3,282.9803,2093-28-9,282.9799,202.0179,284.9771,204.015,162.0231,283.9831,284.9769,
CP3153,Cyfluthrin ,C22H18Cl2FNO3,433.0648,68359-37-5,433.0638,206.06,199.0553,226.0664,163.0076,,,
CP2002,Azinphos ethyl ,C12H16N3O3PS2,345.0371,2642-71-9,345.0373,347.0338,104.0131,160.0558,346.0406,,,
CP2187,Di-n-octyl phthalate,C24H38O4,390.2770,117-84-0,149.1328,150.1361,167.1431,112.084,,,,
CP2237,"2,4-Dimethylphenol",(CH3)2C6H3OH,122.0731,105-67-9,122.0726,107.0492,121.0648,77.0054,105.0448,,,
CP2382,mono-2-ethylhexyl phthalate(MEHP),C16H22O4,278.1518,4376-20-9,149.0961,150.0995,151.0754,167.073,,,,
CP2322,"2,3,4,5-Tetrabromobenzoic acid",C7H2Br4O2,433.6790,27581-13-1,419.3521,368.3438,420.3557,421.359,369.347,,,
CP3148,Menthone ,C10H18O,154.1358,14073-97-3,115.0753,128.062,96.0568,93.0699,154.1352,89.0483,,
CP3022,3-Chloro-o-toluidine,C7H8ClN,141.0345,87-60-5,141.0342,106.0653,104.0258,142.0178,143.0311,,,
CP3157,lambda-Cyhalothrin ,C23H19ClF3NO3,449.1006,91465-08-6,449.1007,181.0647,141.0509,197.034,,,,
CP2490,Ethyl butyrate,C6H12O2,116.0837,105-54-4,88.0519,89.0597,101.0598,73.0284,116.0832,,,
CP2133,Terbuthylazine ,C9H16ClN5,229.1094,5915-41-3,229.109,214.0853,138.0775,216.0824,,,,
CP3182,Tetraethyl ethylenediphosphonate,C10H24O6P2,302.1048,995-32-4,165.07,166.0944,164.0833,173.0963,303.0842,,,
CP3147,Glycerin ,C3H8O3,92.0473,56-81-5,75.0327,73.0285,74.0318,70.0414,76.0308,,,
CP2075,THPI (Tetrahydrophthalimide) ,C8H9NO2,151.0633,85-40-5,151.063,150.0549,123.0679,122.0601,152.0622,80.0496,,
CP2365,Iodofenphos ,C15H16F3N5O4S,419.0875,94125-34-5,167.034,168.0374,415.0674,163.0391,,,,
CP2370,"n,n-diethy-meta-toluamide", C12H17NO,191.1310,134-62-3,191.1304,119.0491,190.1224,120.0525,,,,
CP2345,Bisphenol A,C15H16O2,228.1150,80-05-7,133.0886,117.0573,132.0809,228.1132,,,,
CP3166,Flucythrinate_1,C26H23F2NO4,451.1595,70124-77-5,451.1593,157.0459,181.0647,199.0929,156.0638,,,
CP2327,"trans-3-(2,2-dichlorovinyl)-2,2-dimethylcylo",C8H10Cl2O2,208.0058,59042-50-1,175.0639,174.0465,178.0776,129.0089,208.0037,173.0714,,
CP1016,pentachlorophenol,C6Cl5OH,263.847,87-86-5,263.8471,267.8412,265.8441,164.9059,202.0778,131.9344,,
CP1074,g-BHC,C6H6Cl6,287.8601,58-89-9,182.9338,180.937,218.9108,184.9311,110.9577,108.9608,,
CP2021,g-BHC,C6H6Cl6,287.8601,58-89-9,180.937,182.9338,218.9108,184.9311,,,,
CP2215,Benzidine,C12H12N2,184.1000,92-87-5,184.0995,182.0839,186.0947,91.0417,183.0916,,,
CP2221,Benz[a]pyrene,C20H12,252.0939,50-32-8,252.0942,250.0786,253.0974,248.0629,,,,
CP2242,Pentachlorophenol,C6Cl5OH,263.8470,87-86-5,263.8466,265.8441,267.8412,164.9059,,,,
CP2518,4-Aminobiphenyl,C6H5-C6H4NH2,169.0891,92-67-1,169.0886,168.0808,167.0733,170.0724,84.0206,,,
CP2535,2-Naphthylamine,C10H9N,143.0735,91-59-8,143.073,115.0543,116.0621,144.0763,117.0574,,,
CP2545,Phenacetin,C10H13NO2,179.0946,62-44-2,179.094,178.0863,113.0961,179.0941,,,,
CP2551,o-Toluidine,C6H4CH3NH2,107.0735,95-53-4,107.0730,105.0445,106.0652,108.057,77.0386,,,
CP3002,4-aminobiphenyl,C6H5-C6H4NH2,169.0891,92-67-1,166.0652,170.0728,167.0731,168.081,169.0884,141.1638,,
CP3013,"4,4'-Methylenebis(2-chloroaniline)",C13H12Cl2N2,266.03775,101-14-4,231.0207,233.0362,195.0556,235.0516,,,,
CP3014,2-Naphthylamine,C10H9N,143.073499,91-59-8,143.073,117.0574,118.0652,119.073,,,,
CP3020,2-Aminobiphenyl,C12H11N,169.0892,90-41-5,166.0652,170.0728,167.0731,168.081,169.0884,141.1638,,
CP3028,Benz[a]pyrene,C20H12,252.0939,50-32-8,252.0937,250.0781,253.0969,125.0388,251.0812,,,
CP3094,Benzidine,C12H12N2,184.1,92-87-5,182.0837,184.0994,183.0872,181.0761,92.0621,127.031,,
CP3095,Pentachlorophenol,C6Cl5OH,263.847,87-86-5,263.8466,265.8444,267.8403,269.8378,164.9057,166.9029,,
CP3004,4-chloro-o-toluidine,C7H9Cl2N,141.0345,95-69-2,141.0342,106.0653,104.0258,142.0178,143.0311,,,
CP3005,p-cresidine,CH3OC6H3(CH3)NH2,137.0841,120-71-8,121.0647,77.0385,136.0836,122.0679,94.0731,137.0844,,
CP3006,"2,4-diaminoanisole (as sulfate hydrate)",C7H10N2O,138.0793,615-05-4,123.0443,95.0493,78.0465,80.0576,95.0686,,,
CP3008,"2,4-diaminotoluene",CH3C6H3(NH2)2,122.0844,95-80-7,121.0448,119.0102,123.0604,77.0534,105.0573,122.084,,
CP3009,"3,3'-Dichlorobenzidine",C6H3ClNH2C6H3ClNH2,252.0221,91-94-1,252.0221,255.0764,254.0191,253.0202,,,,
CP3010,"3,3'-Dimethoxybenzidine",C14H16N2O2,244.121178,119-90-4,244.1204,201.1022,93.0655,159.1168,228.0782,,,
CP3011,"3,3'-Dimethylbenzidine",C14H16N2,212.1314,119-93-7,212.1308,196.0992,180.0805,106.0651,115.1256,,,
CP3012,"3,3'-Dimethyl-4,4'-diaminodiphenylmethane",C15H18N2,226.147,838-88-0,226.1479,211.1356,98.1162,105.0291,,,,
CP3015_2,"4,4'-Oxydianiline",C12H12N2O,200.09496,101-80-4,200.0964,199.093,108.0526,171.0617,201.1001,,,
CP3018,"2,4,5-Trimethylaniline",C9H13N,135.1048,137-17-7,120.0808,77.0387,91.0544,134.0965,135.1042,,,
CP3019,p-Aminoazobenzene,C12H11N3,197.0953,60-09-3,197.0959,92.0575,65.0387,77.0386,93.07,,,
CP3023,Acenaphthene,C12H10,154.0783,83-32-9,154.0777,153.0699,152.0621,151.0543,150.0312,,,
CP3024,Acenaphthylene,C12H8,152.0626,208-96-8,152.062,150.0466,153.0654,149.0388,,,,
CP3026,Azobenzene,C12H10N2,182.0844,103-33-3,182.084,77.0386,78.0465,105.0336,83.087,,,
CP3027,Benz(a)anthracene,C18H12,228.0939,56-55-3,228.0935,226.0779,229.0968,113.0385,,,,
